사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
20-Oct,3호선,62,구파발,117,2,"8,785","1,344","26,909","8,699","75,107","22,139","74,470","28,874","37,745","29,715","26,617","28,051","25,901","22,397","27,357","24,064","26,258","24,435","26,632","24,687","30,608","24,763","35,645","29,061","36,887","37,492","31,751","62,163","18,937","53,960","13,990","31,141","12,509","27,453","10,254","22,110","2,248","20,903",17,"2,438",0,25,0,2,0,0
20-Oct,3호선,63,연신내,297,16,"24,709","1,790","46,123","11,128","122,445","21,301","145,940","32,775","80,623","33,542","55,953","33,315","51,574","34,344","54,367","36,863","53,092","40,580","49,805","42,101","49,663","51,770","54,956","62,507","54,432","79,844","49,089","127,543","34,705","114,883","26,571","64,731","24,214","60,189","20,859","51,444","7,469","36,808",28,"2,581",11,30,0,0,0,0
20-Oct,3호선,64,불광,31,1,"8,277",821,"17,317","5,658","46,065","10,107","55,820","32,510","30,805","34,455","22,248","27,052","21,520","22,890","22,803","23,135","24,191","25,277","24,257","24,916","25,268","27,159","26,645","30,485","29,096","36,729","30,562","54,272","17,896","44,041","12,767","26,226","11,379","21,230","8,287","19,075","2,566","12,863",12,486,3,13,0,0,0,0
20-Oct,3호선,65,녹번,43,3,"8,178",676,"20,933","5,650","57,425","7,039","66,172","16,403","36,110","9,152","22,464","8,257","18,784","9,203","18,424","10,184","17,512","11,269","15,702","12,631","14,372","15,937","15,938","20,309","17,413","28,618","18,887","51,167","8,890","44,242","6,178","26,333","5,334","22,855","3,883","20,380","1,083","12,811",2,139,1,6,0,0,0,0
20-Oct,3호선,66,홍제,64,1,"8,653","1,375","18,794","9,513","54,259","10,574","62,424","23,521","37,836","17,812","27,395","16,645","25,771","16,154","26,766","17,837","25,063","19,432","23,484","21,047","23,259","25,089","26,676","29,206","29,028","36,613","26,334","55,681","14,272","46,121","10,477","26,751","8,232","24,143","6,071","19,600","1,947","13,518",6,23,1,11,0,0,0,0
20-Oct,3호선,67,무악재,17,2,"1,670",388,"4,490","2,149","13,150","2,785","14,922","5,551","8,985","3,349","6,289","3,232","5,610","3,515","5,295","3,554","5,076","4,067","4,482","4,485","4,219","5,237","5,255","6,671","5,769","8,114","6,071","13,703","2,825","11,695","1,990","7,127","1,587","6,082","1,296","5,556",480,"4,025",0,10,1,3,0,0,0,0
20-Oct,3호선,68,독립문,78,1,"4,683",612,"5,437","5,104","14,181","13,423","17,649","20,245","13,271","15,030","11,990","14,752","11,785","11,826","12,516","10,915","12,310","12,192","13,539","11,118","13,928","10,867","15,547","11,857","14,372","13,433","15,797","16,521","7,479","13,154","4,970","7,908","4,019","7,203","2,922","6,264",737,"4,164",9,"3,437",0,3,0,0,0,0
20-Oct,3호선,69,경복궁(정부서울청사),61,2,"2,338","1,262","4,888","12,283","11,191","37,947","17,115","95,184","16,605","46,760","12,865","28,860","14,749","27,802","16,618","27,387","21,075","30,709","25,215","28,141","32,390","23,829","40,637","24,019","57,491","25,895","88,005","31,816","38,099","21,413","30,840","10,169","31,676","8,644","20,997","7,748","6,457","4,963",11,227,2,3,0,0,0,0
20-Oct,3호선,70,안국,12,0,"1,642","1,375","2,845","18,076","5,002","83,768","7,631","92,668","7,834","51,279","8,715","33,730","11,451","35,924","16,326","32,621","18,821","35,006","24,738","32,425","36,055","25,702","42,486","22,868","88,918","21,071","99,072","20,500","41,314","9,983","31,314","4,983","28,022","3,931","16,592","3,486","4,374","2,501",6,56,0,4,0,0,0,0
20-Oct,3호선,71,종로3가,26,0,576,800,"1,172","4,925","1,572","12,583","2,047","39,130","3,067","40,234","4,500","27,023","6,818","21,235","8,053","20,995","9,394","20,319","11,844","19,675","15,072","17,615","17,318","15,253","26,768","15,286","46,922","14,982","28,062","8,481","14,460","4,188","14,681","3,273","11,544","2,378","4,351","1,974",20,327,2,7,0,0,0,0
20-Oct,3호선,72,을지로3가,8,0,532,814,902,"6,790","1,621","28,175","2,644","65,378","3,528","30,879","4,383","14,536","6,101","11,705","7,043","11,254","8,899","11,715","10,837","10,410","12,689","10,345","15,354","9,904","31,840","11,161","56,238","13,691","24,617","7,611","15,326","3,458","14,250","2,354","12,191","1,548","5,518","1,302",10,157,5,5,0,0,0,0
20-Oct,3호선,73,충무로,0,0,-,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,4,0,1,0,3,0,3,0,5,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
20-Oct,3호선,74,동대입구,11,1,"1,406","1,086","1,979","7,992","4,529","13,484","6,151","43,974","5,241","24,016","4,701","16,783","5,628","13,809","7,091","12,382","8,245","12,913","11,270","11,836","13,072","9,424","17,521","8,732","32,785","9,793","29,937","10,195","14,268","6,325","10,306","3,637","10,871","4,018","8,576","3,058","2,274","2,087",5,387,2,3,0,0,0,0
20-Oct,3호선,75,약수,99,11,"5,450","1,091","8,999","5,653","23,361","14,713","34,682","31,069","24,142","19,272","16,747","12,973","16,348","13,212","17,276","13,825","17,836","14,462","17,458","15,541","19,139","16,398","19,772","20,294","23,402","25,914","30,820","37,623","16,836","25,581","13,109","16,914","12,462","15,158","9,747","13,289","3,769","8,113",17,"2,360",1,7,0,5,0,0
20-Oct,3호선,76,금호,43,6,"4,398",485,"8,949","2,647","23,997","4,403","32,139","8,027","20,502","6,446","13,632","5,923","11,594","6,368","11,427","7,499","11,263","8,632","9,931","9,033","9,861","11,802","10,514","14,573","10,863","18,956","11,063","27,535","7,159","20,741","5,544","13,808","4,643","11,732","3,497","10,398","1,305","6,013",10,27,1,5,0,0,0,0
20-Oct,3호선,77,옥수,212,17,"2,774",916,"8,065","4,049","21,000","7,492","28,131","14,270","19,028","10,304","13,470","8,202","12,185","9,258","12,907","9,994","13,454","11,848","12,747","12,094","13,125","14,835","15,150","17,056","16,708","22,263","17,524","31,993","10,917","23,652","8,226","15,326","7,319","13,595","5,377","12,311","2,092","6,656",64,716,4,4,0,0,0,0
20-Oct,3호선,78,압구정,39,1,"2,700","2,049","7,160","19,568","14,241","41,498","20,873","124,053","17,271","135,981","19,804","66,891","25,918","49,885","29,884","43,507","33,105","48,214","40,381","44,523","48,988","40,898","59,001","39,586","78,060","49,976","121,841","55,464","88,401","33,401","68,434","15,100","50,421","11,334","37,121","9,518","10,141","4,887",13,"1,550",3,5,0,1,0,0
20-Oct,3호선,79,신사,42,3,"3,228","1,347","5,697","17,412","9,876","38,419","16,354","99,771","12,718","118,771","14,987","60,729","20,334","42,702","23,675","43,623","28,322","48,565","34,549","47,030","42,432","45,104","53,230","44,666","78,393","52,302","124,049","69,382","87,886","39,979","58,337","17,740","62,278","12,155","54,792","8,763","18,462","6,521",23,196,7,7,0,0,0,0
20-Oct,3호선,80,잠원,2,1,"1,038",598,"4,423","5,032","11,079","7,896","14,952","9,969","9,501","6,790","6,838","5,078","6,781","5,398","7,338","5,969","7,390","7,173","6,770","6,778","7,338","7,900","9,353","8,197","11,141","10,127","10,524","14,230","6,351","10,461","4,427","6,077","4,112","5,239","3,121","5,853",782,"3,324",2,12,0,3,0,0,0,0
20-Oct,3호선,81,고속터미널,93,1,"4,639","3,001","5,999","26,282","21,607","41,133","35,999","66,807","38,564","85,348","38,911","74,447","50,182","78,815","61,365","76,162","68,415","80,791","75,968","80,947","86,175","84,801","98,218","82,486","115,721","88,805","120,985","101,373","102,676","64,964","115,868","36,344","70,673","27,539","45,885","18,715","14,294","11,084",51,416,11,6,0,2,0,0
20-Oct,3호선,82,교대(법원.검찰청),32,1,"1,091",489,"2,783","5,999","6,989","18,150","10,340","43,786","8,552","31,237","9,686","14,084","12,244","9,725","13,253","9,416","16,058","10,013","18,459","9,597","21,234","8,933","23,532","9,135","37,228","11,756","59,629","15,814","25,746","8,826","19,635","4,420","21,291","3,353","20,786","2,903","5,566","2,187",6,51,5,1,0,0,0,0
20-Oct,3호선,83,남부터미널(예술의전당),40,0,"2,455","1,083","7,510","23,158","23,388","53,078","35,017","139,305","30,036","76,479","27,166","42,826","30,426","33,428","32,971","35,116","36,768","37,130","38,111","38,439","42,364","38,092","50,368","39,935","80,197","42,544","124,331","51,541","60,483","35,294","42,759","21,229","35,801","16,361","25,900","12,398","7,381","7,983",12,118,0,5,0,0,0,0
20-Oct,3호선,84,양재(서초구청),128,2,"5,052","2,242","12,435","35,201","29,254","92,412","39,529","218,385","28,172","114,994","25,656","52,799","28,581","41,602","32,733","37,543","37,554","43,060","40,990","37,790","48,127","37,741","57,555","40,249","105,889","50,841","181,196","66,262","88,496","46,815","57,561","28,079","52,436","23,579","37,049","19,134","9,572","12,420",16,"1,322",5,6,0,0,0,0
20-Oct,3호선,85,매봉,2,0,"1,326",574,"5,289","7,893","13,413","18,842","15,827","63,367","11,698","32,665","9,552","13,049","9,546","11,325","10,056","10,691","12,205","10,784","13,433","9,785","14,999","10,675","17,173","10,974","30,106","14,679","57,993","19,354","21,483","13,503","13,540","7,988","14,405","6,659","9,094","5,982","2,619","3,672",10,454,0,0,0,0,0,0
20-Oct,3호선,86,도곡,13,0,897,337,"2,992","4,069","7,582","12,022","9,784","19,174","6,228","13,879","4,743","7,055","5,254","5,937","5,793","6,075","6,546","6,395","6,684","5,588","8,405","5,776","10,320","5,838","14,861","7,270","16,520","9,150","8,714","7,690","5,286","4,327","4,750","3,863","3,762","3,781",980,"2,156",6,"1,440",1,3,0,0,0,0
20-Oct,3호선,87,대치,11,1,"2,214",767,"9,673","6,922","22,181","15,166","20,567","23,325","12,442","15,788","9,954","11,743","10,062","10,253","12,934","13,344","14,228","16,779","12,447","14,953","14,838","16,701","16,247","18,034","23,903","24,493","24,891","26,245","16,170","20,186","11,896","10,764","12,869","9,736","27,083","9,321","2,762","5,582",5,53,2,4,0,0,0,0
20-Oct,3호선,88,학여울,0,0,401,251,"1,461","1,755","3,387","3,053","3,793","6,778","2,478","4,677","2,024","3,128","2,258","2,640","2,502","3,059","2,814","3,149","2,965","3,167","3,914","3,113","4,601","2,648","5,950","3,052","6,592","4,220","2,747","3,117","1,711","1,750","1,575","1,574","1,291","1,618",241,"1,050",1,15,2,0,0,0,0,0
20-Oct,3호선,89,대청,42,1,"3,235","1,005","9,199","7,015","23,570","12,898","27,024","22,412","15,727","10,727","12,714","7,016","11,307","7,296","11,353","8,773","11,877","8,808","12,696","9,158","15,683","12,329","15,607","12,516","19,933","15,680","22,792","22,974","10,503","20,121","6,958","12,436","5,627","11,143","4,363","11,782","1,214","6,649",2,186,1,6,0,0,0,0
20-Oct,3호선,90,일원,7,2,"1,801","1,428","6,978","7,645","19,671","25,337","19,265","22,944","13,105","15,785","12,926","14,217","13,499","9,923","13,968","11,452","12,771","13,711","14,454","11,438","18,151","11,075","20,918","9,031","27,828","11,768","15,017","16,950","8,090","14,399","5,519","9,066","3,915","8,203","3,143","9,040",947,"4,242",1,83,0,2,0,0,0,0
20-Oct,3호선,91,수서,223,4,"4,206","1,673","10,705","12,863","29,929","27,376","38,439","46,129","25,043","28,212","24,254","20,198","20,057","16,219","25,147","19,925","23,673","19,702","19,958","19,859","27,327","22,755","30,087","25,023","35,723","30,876","46,398","42,396","21,740","32,378","20,186","21,834","13,575","16,950","12,295","16,789","4,323","7,920",10,903,6,8,0,0,0,0
20-Oct,3호선,92,가락시장,8,0,"2,311",652,"6,029","4,845","17,165","9,987","20,245","25,497","13,627","14,567","11,856","10,556","12,185","10,293","12,303","10,913","12,568","11,414","12,720","11,788","13,578","13,353","14,669","14,224","18,244","16,845","25,978","22,805","11,866","16,768","8,777","10,783","7,976","8,817","5,871","7,817","1,671","4,508",10,"1,200",2,4,0,1,0,0
20-Oct,3호선,93,경찰병원,8,1,"2,409",140,"6,236","2,619","18,755","7,587","23,143","27,284","13,315","13,401","10,174","8,012","9,049","6,143","9,352","7,678","9,374","8,488","8,993","7,838","9,187","8,337","9,106","8,883","14,294","12,348","19,078","18,823","6,603","15,935","5,037","9,834","5,118","7,465","3,043","7,164",734,"4,090",4,968,0,3,0,0,0,0
20-Oct,3호선,94,오금,9,0,"3,092",1,"6,366","1,935","22,147","4,901","26,159","12,791","13,840","5,330","8,150","4,406","7,201","3,958","7,727","5,176","6,987","5,478","6,220","5,109","5,999","7,503","7,359","8,179","9,665","11,601","11,361","18,405","4,592","14,261","3,298","9,224","2,926","8,129","2,293","8,562",483,"4,830",1,"1,425",1,7,0,5,0,0
20-Oct,4호선,100,수유(강북구청),96,12,"19,714","3,330","40,457","10,916","102,785","17,982","116,615","50,412","70,488","35,253","48,952","27,748","44,519","28,684","45,934","32,511","46,031","36,142","43,757","39,725","42,752","46,878","45,410","56,645","51,438","72,936","57,963","115,833","34,836","103,704","26,338","64,653","23,416","56,213","19,233","48,511","8,875","31,706",39,569,5,20,0,0,0,0
20-Oct,4호선,101,미아(서울사이버대학),45,3,"9,764","1,539","18,593","5,270","44,641","15,260","51,077","28,239","30,485","16,344","23,192","13,902","20,934","14,670","20,958","15,709","20,707","16,230","21,580","17,880","23,153","21,876","21,506","25,099","23,465","30,354","25,114","45,435","15,642","37,533","10,747","22,885","8,739","20,795","6,493","17,481","2,513","12,323",11,130,2,6,0,0,0,0
20-Oct,4호선,102,미아사거리,46,3,"13,940","1,996","32,850","7,929","88,247","17,108","97,043","31,768","56,171","30,315","38,854","25,352","35,805","26,612","37,533","29,505","38,491","31,476","36,471","35,395","37,848","42,761","41,857","50,229","40,727","62,813","42,277","100,066","30,749","79,850","29,375","45,766","17,970","39,822","13,810","34,054","6,247","20,642",26,63,5,16,0,0,0,0
20-Oct,4호선,103,길음,20,0,"8,806","1,951","25,367","8,945","73,295","12,644","79,677","25,476","42,069","19,663","27,986","15,907","24,836","16,975","25,955","18,483","25,117","21,227","23,305","22,486","24,000","26,531","26,237","31,600","31,308","43,128","28,364","68,246","17,429","56,629","13,218","34,320","10,171","28,954","9,405","28,507","3,279","17,022",16,81,1,9,0,0,0,0
20-Oct,4호선,104,성신여대입구(돈암),37,2,"5,126","1,652","15,617","6,111","40,624","14,923","50,435","32,927","32,126","24,279","23,377","19,187","23,696","20,664","27,848","23,305","27,782","25,695","27,715","26,683","29,506","28,957","32,521","32,428","37,077","42,096","43,497","61,343","28,283","49,784","24,301","29,887","25,133","25,300","22,669","23,754","8,901","15,829",23,94,5,13,0,1,0,0
20-Oct,4호선,105,한성대입구(삼선교),68,3,"6,218","1,021","10,947","6,086","27,506","16,670","34,520","28,023","23,660","21,629","16,816","15,828","16,846","15,890","19,395","16,611","20,649","17,894","19,306","17,148","19,903","18,451","26,400","20,493","28,813","26,638","30,595","35,232","16,129","28,200","12,734","16,977","11,497","15,415","9,312","14,620","3,543","10,586",17,"5,203",3,9,1,10,0,0
20-Oct,4호선,106,혜화,36,1,"3,142","2,414","6,533","18,852","15,908","41,675","19,273","105,405","20,997","71,697","26,245","47,529","29,663","44,772","30,397","51,702","34,497","68,107","41,409","61,262","54,304","48,437","66,902","46,372","86,984","54,791","108,048","64,042","61,136","45,613","56,135","18,850","67,351","16,458","61,580","13,912","20,485","9,524",35,625,3,3,0,0,0,0
20-Oct,4호선,107,동대문,224,18,"5,431","2,544","3,633","12,041","5,190","33,945","6,977","72,849","11,109","64,334","16,251","50,980","22,791","46,854","28,667","36,756","32,149","37,340","40,159","36,529","46,950","29,802","55,305","22,203","79,442","16,375","67,857","12,219","30,506","14,664","20,737","10,236","22,341","6,245","12,345","4,412","4,849","5,648",10,163,6,3,0,0,0,0
20-Oct,4호선,108,동대문역사문화공원(DDP),223,1,"6,840","1,341","4,209","10,187","5,938","23,143","7,239","62,530","6,786","34,350","7,452","22,968","10,796","21,934","13,858","20,807","16,077","21,626","20,981","21,431","26,324","18,339","30,827","16,392","46,839","17,010","65,944","18,017","37,796","24,128","26,831","12,003","24,758","7,498","19,097","5,317","7,847","4,932",23,607,10,3,0,0,0,0
20-Oct,4호선,109,충무로,83,2,"2,697","2,472","3,794","16,369","7,125","48,212","11,193","157,565","11,418","89,732","12,078","43,663","16,006","35,264","19,600","31,991","24,968","32,810","30,461","29,122","35,206","25,183","45,117","24,615","77,497","27,748","130,050","31,756","63,200","18,522","42,977","9,506","41,046","8,504","32,047","6,884","13,718","5,740",18,718,1,13,0,0,0,0
20-Oct,4호선,110,명동,45,1,584,765,"1,826","12,258","2,978","37,071","4,684","91,539","5,856","56,969","7,253","32,579","11,089","33,336","15,963","33,465","20,906","33,948","25,608","30,935","32,860","29,448","42,876","26,073","57,027","25,429","95,468","24,279","47,644","13,832","38,401","6,322","33,921","4,166","17,453","2,658","4,432","1,617",7,176,0,4,0,0,0,0
20-Oct,4호선,111,회현(남대문시장),51,2,"1,811",703,"3,015","15,298","4,154","40,243","6,653","112,179","7,743","85,800","11,523","64,741","19,825","54,303","26,705","44,738","34,630","40,206","42,792","36,755","49,986","30,243","62,994","21,589","81,564","15,627","104,177","12,892","39,921","7,334","37,574","4,180","15,990","4,451","9,191","3,504","2,894","2,024",4,218,0,2,0,0,0,0
20-Oct,4호선,112,서울역,160,2,"3,830",482,"4,558","9,474","10,055","29,002","13,385","75,507","9,638","38,020","8,226","17,600","9,443","15,700","10,296","17,776","11,142","18,395","10,897","18,369","12,516","20,125","14,090","21,731","32,936","25,406","57,319","26,077","19,262","19,344","12,148","12,701","11,294","11,404","7,946","9,594","3,052","6,070",15,"1,431",0,2,0,0,0,0
20-Oct,4호선,113,숙대입구(갈월),18,3,"2,904",748,"7,242","6,194","14,851","19,731","22,915","44,342","15,323","27,573","12,624","13,944","13,526","13,690","15,108","14,194","15,662","15,239","16,225","15,499","17,581","15,584","21,970","17,333","30,794","22,060","44,480","30,184","21,992","21,065","16,071","12,881","15,618","11,247","13,913","10,005","5,828","6,787",7,21,3,4,0,0,0,0
20-Oct,4호선,114,삼각지,3,0,580,317,"1,689","3,975","4,482","8,950","6,700","22,714","4,285","9,739","3,313","5,661","3,730","5,391","4,379","5,915","5,218","5,816","5,159","5,656","5,732","6,007","6,918","6,292","11,132","8,403","20,427","11,644","8,088","7,831","5,851","4,320","5,946","3,543","4,548","3,299","2,097","2,610",5,390,1,5,0,1,0,0
20-Oct,4호선,115,신용산,3,1,"1,111",867,"3,417","10,710","9,486","29,352","14,254","83,690","10,995","51,414","9,101","21,580","11,854","16,736","12,483","16,734","14,616","17,803","15,484","17,458","19,821","17,579","25,918","18,075","46,122","20,826","78,097","26,876","36,049","16,704","24,305","9,579","21,378","7,511","14,170","5,744","5,452","3,139",20,20,2,4,1,0,0,0
20-Oct,4호선,116,이촌(국립중앙박물관),49,4,"1,102",644,"3,751","6,405","11,467","12,878","15,616","24,856","10,449","13,717","7,653","10,499","7,868","10,345","8,895","10,954","9,719","12,736","10,323","11,821","12,441","12,082","17,387","11,984","19,881","14,258","23,585","19,169","9,965","14,048","7,071","8,226","7,735","6,894","4,532","6,236","1,631","3,795",14,49,1,5,0,0,0,0
20-Oct,4호선,117,동작(현충원),37,1,472,197,"1,407","2,513","4,537","4,087","5,850","5,889","4,044","4,098","3,609","3,505","3,750","3,155","3,530","3,143","3,566","3,907","4,080","4,323","4,812","4,769","5,366","4,661","6,709","5,682","7,331","6,788","3,505","4,859","2,787","3,122","2,614","2,557","1,638","2,309",607,"1,612",0,500,0,0,0,0,0,0
20-Oct,4호선,118,총신대입구(이수),80,3,"6,058",969,"14,415","11,142","41,853","16,431","54,582","37,877","33,990","30,586","24,889","22,330","24,265","21,342","26,257","24,329","26,923","26,449","26,439","27,849","26,636","32,601","29,506","37,823","32,991","49,436","40,298","70,362","24,055","48,667","21,019","26,503","17,944","22,370","16,135","20,350","6,506","11,413",21,"1,396",2,11,0,1,0,0
20-Oct,4호선,119,사당,114,0,"9,895","1,042","21,030","14,876","58,412","20,056","80,199","31,152","56,080","25,580","35,020","20,397","29,764","22,770","32,501","24,402","33,605","24,137","31,308","24,443","29,971","28,719","32,302","36,869","38,408","53,015","43,770","78,682","30,158","57,154","26,660","30,977","28,893","27,778","26,617","26,591","10,064","17,839",38,"3,868",12,16,3,7,0,0
20-Oct,4호선,120,남태령,28,0,525,103,821,"1,327","2,112","2,961","2,622","4,154","2,240","1,675","1,791","1,129","1,727",977,"1,744","1,155","1,731","1,136","1,815","1,180","1,718","1,313","2,523","1,301","3,433","1,591","3,206","1,719","1,455","1,404",970,922,562,783,253,702,99,414,3,57,0,0,0,0,0,0
20-Oct,4호선,95,당고개,50,0,"7,796",22,"16,977","6,946","48,285","8,276","46,599","13,060","28,421","12,547","19,432","12,719","17,979","11,587","17,639","12,028","18,296","13,126","17,651","13,573","17,141","16,591","17,064","19,679","16,831","24,795","16,253","34,756","12,487","33,440","7,333","22,240","5,567","18,791","4,140","17,321","1,083","13,151",4,910,3,11,0,4,0,0
